"target","target_region","reporter","CT","quantity","plate_id"
"MK1","Region 1","SYBR",19.29775,4e+05,"P1006"
"MK1","Region 1","SYBR",19.69286,4e+05,"P1006"
"MK2","Region 2","SYBR",19.36176,4e+05,"P1006"
"MK2","Region 2","SYBR",19.13536,4e+05,"P1006"
"MK3","Region 3","SYBR",18.15218,4e+05,"P1006"
"MK3","Region 3","SYBR",18.25894,4e+05,"P1006"
"MK4","Region 4","SYBR",17.86524,4e+05,"P1006"
"MK4","Region 4","SYBR",17.84927,4e+05,"P1006"
"MK5","Region 5","SYBR",17.89959,4e+05,"P1006"
"MK5","Region 5","SYBR",18.0184,4e+05,"P1006"
"MK1","Region 1","SYBR",22.91607,40000,"P1006"
"MK1","Region 1","SYBR",22.95124,40000,"P1006"
"MK2","Region 2","SYBR",23.0386,40000,"P1006"
"MK2","Region 2","SYBR",22.97758,40000,"P1006"
"MK3","Region 3","SYBR",21.95329,40000,"P1006"
"MK3","Region 3","SYBR",21.56425,40000,"P1006"
"MK4","Region 4","SYBR",21.31931,40000,"P1006"
"MK4","Region 4","SYBR",21.26483,40000,"P1006"
"MK5","Region 5","SYBR",21.67815,40000,"P1006"
"MK5","Region 5","SYBR",21.45883,40000,"P1006"
"MK1","Region 1","SYBR",26.51936,4000,"P1006"
"MK1","Region 1","SYBR",26.56566,4000,"P1006"
"MK2","Region 2","SYBR",26.49299,4000,"P1006"
"MK2","Region 2","SYBR",26.43834,4000,"P1006"
"MK3","Region 3","SYBR",25.4789,4000,"P1006"
"MK3","Region 3","SYBR",25.35499,4000,"P1006"
"MK4","Region 4","SYBR",25.09808,4000,"P1006"
"MK4","Region 4","SYBR",25.03709,4000,"P1006"
"MK5","Region 5","SYBR",25.15155,4000,"P1006"
"MK5","Region 5","SYBR",25.25792,4000,"P1006"
"MK1","Region 1","SYBR",30.50887,400,"P1006"
"MK1","Region 1","SYBR",30.21603,400,"P1006"
"MK2","Region 2","SYBR",29.87275,400,"P1006"
"MK2","Region 2","SYBR",30.25903,400,"P1006"
"MK3","Region 3","SYBR",29.43566,400,"P1006"
"MK3","Region 3","SYBR",28.95933,400,"P1006"
"MK4","Region 4","SYBR",28.80489,400,"P1006"
"MK4","Region 4","SYBR",28.53877,400,"P1006"
"MK5","Region 5","SYBR",29.1029,400,"P1006"
"MK5","Region 5","SYBR",28.79452,400,"P1006"
"MK1","Region 1","SYBR",33.77153,40,"P1006"
"MK1","Region 1","SYBR",34.07133,40,"P1006"
"MK2","Region 2","SYBR",33.61525,40,"P1006"
"MK2","Region 2","SYBR",33.58606,40,"P1006"
"MK3","Region 3","SYBR",32.90698,40,"P1006"
"MK3","Region 3","SYBR",33.17956,40,"P1006"
"MK4","Region 4","SYBR",32.04885,40,"P1006"
"MK4","Region 4","SYBR",31.68412,40,"P1006"
"MK5","Region 5","SYBR",34.39215,40,"P1006"
"MK5","Region 5","SYBR",32.44309,40,"P1006"
"MK6","Region 6","SYBR",20.14095,4e+05,"P1007"
"MK6","Region 6","SYBR",19.84481,4e+05,"P1007"
"MK7","Region 7","SYBR",20.0252,4e+05,"P1007"
"MK7","Region 7","SYBR",19.9446,4e+05,"P1007"
"MK9","Region 9","SYBR",19.66493,4e+05,"P1007"
"MK9","Region 9","SYBR",19.53747,4e+05,"P1007"
"MK10","Region 10","SYBR",20.06237,4e+05,"P1007"
"MK10","Region 10","SYBR",19.93458,4e+05,"P1007"
"MK6","Region 6","SYBR",22.55608,40000,"P1007"
"MK6","Region 6","SYBR",22.7699,40000,"P1007"
"MK7","Region 7","SYBR",23.5175,40000,"P1007"
"MK7","Region 7","SYBR",23.26003,40000,"P1007"
"MK9","Region 9","SYBR",23.21742,40000,"P1007"
"MK9","Region 9","SYBR",22.99128,40000,"P1007"
"MK10","Region 10","SYBR",23.3527,40000,"P1007"
"MK10","Region 10","SYBR",23.3005,40000,"P1007"
"MK6","Region 6","SYBR",26.71994,4000,"P1007"
"MK6","Region 6","SYBR",26.4977,4000,"P1007"
"MK7","Region 7","SYBR",26.41909,4000,"P1007"
"MK7","Region 7","SYBR",26.7901,4000,"P1007"
"MK9","Region 9","SYBR",26.27121,4000,"P1007"
"MK9","Region 9","SYBR",26.46022,4000,"P1007"
"MK10","Region 10","SYBR",26.43287,4000,"P1007"
"MK10","Region 10","SYBR",26.85265,4000,"P1007"
"MK6","Region 6","SYBR",31.86836,400,"P1007"
"MK6","Region 6","SYBR",31.41401,400,"P1007"
"MK7","Region 7","SYBR",30.2018,400,"P1007"
"MK7","Region 7","SYBR",30.43215,400,"P1007"
"MK9","Region 9","SYBR",30.90181,400,"P1007"
"MK9","Region 9","SYBR",30.93323,400,"P1007"
"MK10","Region 10","SYBR",30.69517,400,"P1007"
"MK10","Region 10","SYBR",30.76606,400,"P1007"
"MK6","Region 6","SYBR",33.62984,40,"P1007"
"MK6","Region 6","SYBR",34.4751,40,"P1007"
"MK7","Region 7","SYBR",34.94564,40,"P1007"
"MK7","Region 7","SYBR",34.06769,40,"P1007"
"MK9","Region 9","SYBR",34.29851,40,"P1007"
"MK9","Region 9","SYBR",33.17546,40,"P1007"
"MK10","Region 10","SYBR",35.99097,40,"P1007"
"MK10","Region 10","SYBR",33.63966,40,"P1007"
