"target","target_region","reporter","CT","quantity","plate_id","assay_letter"
"OL5a","Region 5","SYBR",16.65529,1e+06,"P87","A"
"OL5a","Region 5","SYBR",16.81203,1e+06,"P87","A"
"OL5a","Region 5","SYBR",16.07039,1e+06,"P87","A"
"OL5b","Region 5","SYBR",13.39338,1e+06,"P87","B"
"OL5b","Region 5","SYBR",13.26026,1e+06,"P87","B"
"OL5b","Region 5","SYBR",13.23012,1e+06,"P87","B"
"OL7a","Region 7","SYBR",25.93906,1e+06,"P87","A"
"OL7a","Region 7","SYBR",25.9588,1e+06,"P87","A"
"OL7a","Region 7","SYBR",25.826,1e+06,"P87","A"
"OL7b","Region 7","SYBR",20.86824,1e+06,"P87","B"
"OL7b","Region 7","SYBR",21.14555,1e+06,"P87","B"
"OL7b","Region 7","SYBR",20.52168,1e+06,"P87","B"
"OL5a","Region 5","SYBR",19.85971,1e+05,"P87","A"
"OL5a","Region 5","SYBR",20.49119,1e+05,"P87","A"
"OL5a","Region 5","SYBR",19.98364,1e+05,"P87","A"
"OL5b","Region 5","SYBR",16.84204,1e+05,"P87","B"
"OL5b","Region 5","SYBR",28.96072,1e+05,"P87","B"
"OL5b","Region 5","SYBR",16.91856,1e+05,"P87","B"
"OL7a","Region 7","SYBR",28.27875,1e+05,"P87","A"
"OL7a","Region 7","SYBR",29.40565,1e+05,"P87","A"
"OL7a","Region 7","SYBR",29.36122,1e+05,"P87","A"
"OL7b","Region 7","SYBR",24.24892,1e+05,"P87","B"
"OL7b","Region 7","SYBR",23.41109,1e+05,"P87","B"
"OL7b","Region 7","SYBR",23.9749,1e+05,"P87","B"
"OL5a","Region 5","SYBR",23.74117,10000,"P87","A"
"OL5a","Region 5","SYBR",23.8243,10000,"P87","A"
"OL5a","Region 5","SYBR",23.62671,10000,"P87","A"
"OL5b","Region 5","SYBR",21.10426,10000,"P87","B"
"OL5b","Region 5","SYBR",20.64577,10000,"P87","B"
