"quantity","CT","plate_id","target"
5e+06,13.30384,"P81","ORF"
5e+06,13.27912,"P81","ORF"
5e+05,16.47719,"P81","ORF"
5e+05,16.59793,"P81","ORF"
50000,19.9095,"P81","ORF"
50000,19.8001,"P81","ORF"
5000,23.26931,"P81","ORF"
5000,23.2337,"P81","ORF"
500,26.59503,"P81","ORF"
500,26.5843,"P81","ORF"
50,29.93359,"P81","ORF"
50,29.60545,"P81","ORF"
5,34.91331,"P81","ORF"
5,33.58127,"P81","ORF"
5e+06,13.17317,"P82","ORF"
5e+06,12.90231,"P82","ORF"
5e+05,16.43532,"P82","ORF"
5e+05,16.27338,"P82","ORF"
50000,19.7779,"P82","ORF"
50000,19.77328,"P82","ORF"
5000,23.29344,"P82","ORF"
5000,23.20469,"P82","ORF"
500,26.82003,"P82","ORF"
500,26.61445,"P82","ORF"
50,29.93321,"P82","ORF"
50,29.83735,"P82","ORF"
5,33.35775,"P82","ORF"
5,33.42531,"P82","ORF"
5e+06,12.73694,"P83","ORF"
5e+06,12.6584,"P83","ORF"
5e+05,16.22381,"P83","ORF"
5e+05,16.1731,"P83","ORF"
50000,19.69787,"P83","ORF"
50000,19.65504,"P83","ORF"
5000,22.95455,"P83","ORF"
5000,22.96871,"P83","ORF"
500,26.70903,"P83","ORF"
500,26.35491,"P83","ORF"
50,29.90679,"P83","ORF"
50,29.57349,"P83","ORF"
5,32.8155,"P83","ORF"
5,34.08255,"P83","ORF"
2e+05,16.75284,"P1000","ORF"
2e+05,16.47274,"P1000","ORF"
2e+05,16.75822,"P1000","ORF"
20000,21.19953,"P1000","ORF"
20000,20.5555,"P1000","ORF"
20000,20.46492,"P1000","ORF"
2000,24.74976,"P1000","ORF"
2000,24.63713,"P1000","ORF"
2000,24.56965,"P1000","ORF"
200,27.63961,"P1000","ORF"
200,27.73566,"P1000","ORF"
200,27.60081,"P1000","ORF"
20,31.96721,"P1000","ORF"
20,32.98993,"P1000","ORF"
20,31.1237,"P1000","ORF"
4e+05,20.13416,"P1001","MK1"
4e+05,20.15884,"P1001","MK1"
4e+05,19.75658,"P1001","MK1"
4e+05,18.94056,"P1001","MK3"
4e+05,18.98195,"P1001","MK3"
4e+05,18.81418,"P1001","MK3"
40000,23.96269,"P1001","MK1"
40000,23.78456,"P1001","MK1"
40000,23.49191,"P1001","MK1"
40000,22.49825,"P1001","MK3"
40000,22.4396,"P1001","MK3"
40000,22.4599,"P1001","MK3"
4000,27.6575,"P1001","MK1"
4000,27.52364,"P1001","MK1"
4000,27.22318,"P1001","MK1"
4000,26.16969,"P1001","MK3"
4000,26.03924,"P1001","MK3"
4000,25.86422,"P1001","MK3"
400,31.49126,"P1001","MK1"
400,31.22895,"P1001","MK1"
400,30.85108,"P1001","MK1"
400,29.94913,"P1001","MK3"
400,29.68621,"P1001","MK3"
400,29.53861,"P1001","MK3"
40,36.40589,"P1001","MK1"
40,35.95002,"P1001","MK1"
40,35.08815,"P1001","MK1"
40,33.86739,"P1001","MK3"
40,33.00703,"P1001","MK3"
40,33.87842,"P1001","MK3"
4,38.03006,"P1001","MK1"
4,37.17451,"P1001","MK1"
4,36.34324,"P1001","MK3"
4,36.19931,"P1001","MK3"
4,35.48907,"P1001","MK3"
4e+05,19.86936,"P1002","MK5"
