sample_id,id,storage_condition,reactor,filtered,RNase_treated,time_point,dilution_factor,target,task,CT,plate_id,Exp_loc,experiment,experiment_manuscript_label
extraction_intpos_Matrix-N-C8-1x,extraction_intposOL_Matrix,NA,NA,NA,N,C8,1,ORF,UNKNOWN,24.24883,P81,CDC_collab,extraction_control_1234,control
extraction_intpos_Matrix-Y-C8-1x,extraction_intposOL_Matrix,NA,NA,NA,Y,C8,1,ORF,UNKNOWN,24.58204,P81,CDC_collab,extraction_control_1234,control
20A1F-N-T0-1x,20A1F,20,A1,F,N,T0,1,ORF,UNKNOWN,22.79911,P81,CDC_collab,3,20-1
20A1F-N-T0-1x,20A1F,20,A1,F,N,T0,1,ORF,UNKNOWN,22.72155,P81,CDC_collab,3,20-1
20A1F-N-T0-5x,20A1F,20,A1,F,N,T0,5,ORF,UNKNOWN,24.8375,P81,CDC_collab,3,20-1
20A1F-N-T0-5x,20A1F,20,A1,F,N,T0,5,ORF,UNKNOWN,24.86865,P81,CDC_collab,3,20-1
extraction_neg-N-C8-1x,extraction_neg,NA,NA,NA,N,C8,1,ORF,UNKNOWN,Undetermined,P81,CDC_collab,extraction_control_1234,control
extraction_neg-Y-C8-1x,extraction_neg,NA,NA,NA,Y,C8,1,ORF,UNKNOWN,Undetermined,P81,CDC_collab,extraction_control_1234,control
20A1F-N-T1-1x,20A1F,20,A1,F,N,T1,1,ORF,UNKNOWN,24.22318,P81,CDC_collab,3,20-1
20A1F-N-T1-1x,20A1F,20,A1,F,N,T1,1,ORF,UNKNOWN,23.98287,P81,CDC_collab,3,20-1
20A1F-N-T1-5x,20A1F,20,A1,F,N,T1,5,ORF,UNKNOWN,26.25869,P81,CDC_collab,3,20-1
20A1F-N-T1-5x,20A1F,20,A1,F,N,T1,5,ORF,UNKNOWN,26.32599,P81,CDC_collab,3,20-1
extraction_RNApos_Matrix-N-C8-1x,extraction_RNAposOL_Matrix,NA,NA,NA,N,C8,1,ORF,UNKNOWN,31.66531,P81,CDC_collab,extraction_control_1234,control
extraction_RNApos_Matrix-N-C8-1x,extraction_RNAposOL_Matrix,NA,NA,NA,N,C8,1,ORF,UNKNOWN,31.94282,P81,CDC_collab,extraction_control_1234,control
20A1F-N-T7-1x,20A1F,20,A1,F,N,T7,1,ORF,UNKNOWN,24.32659,P81,CDC_collab,3,20-1
20A1F-N-T7-1x,20A1F,20,A1,F,N,T7,1,ORF,UNKNOWN,24.19331,P81,CDC_collab,3,20-1
20A1F-N-T7-5x,20A1F,20,A1,F,N,T7,5,ORF,UNKNOWN,26.36684,P81,CDC_collab,3,20-1
20A1F-N-T7-5x,20A1F,20,A1,F,N,T7,5,ORF,UNKNOWN,26.28769,P81,CDC_collab,3,20-1
20A3F-Y-T0-5x,20A3F,20,A3,F,Y,T0,5,ORF,UNKNOWN,25.59127,P81,CDC_collab,4,20-2
extraction_RNApos_Matrix-Y-C8-1x,extraction_RNAposOL_Matrix,NA,NA,NA,Y,C8,1,ORF,UNKNOWN,Undetermined,P81,CDC_collab,extraction_control_1234,control
extraction_RNApos_Matrix-Y-C8-1x,extraction_RNAposOL_Matrix,NA,NA,NA,Y,C8,1,ORF,UNKNOWN,Undetermined,P81,CDC_collab,extraction_control_1234,control
20A3F-N-T0-1x,20A3F,20,A3,F,N,T0,1,ORF,UNKNOWN,23.70156,P81,CDC_collab,4,20-2
20A3F-N-T0-1x,20A3F,20,A3,F,N,T0,1,ORF,UNKNOWN,23.53594,P81,CDC_collab,4,20-2
20A3F-N-T0-5x,20A3F,20,A3,F,N,T0,5,ORF,UNKNOWN,25.69609,P81,CDC_collab,4,20-2
20A3F-N-T0-5x,20A3F,20,A3,F,N,T0,5,ORF,UNKNOWN,25.67124,P81,CDC_collab,4,20-2
20A3F-Y-T0-1x,20A3F,20,A3,F,Y,T0,1,ORF,UNKNOWN,23.18077,P81,CDC_collab,4,20-2
20A3F-Y-T0-1x,20A3F,20,A3,F,Y,T0,1,ORF,UNKNOWN,23.13342,P81,CDC_collab,4,20-2
20A3F-Y-T0-5x,20A3F,20,A3,F,Y,T0,5,ORF,UNKNOWN,25.47795,P81,CDC_collab,4,20-2
20A3F-Y-T1-5x,20A3F,20,A3,F,Y,T1,5,ORF,UNKNOWN,25.66515,P81,CDC_collab,4,20-2
20A3F-N-T28-1x,20A3F,20,A3,F,N,T28,1,ORF,UNKNOWN,23.73573,P81,CDC_collab,4,20-2
20A3F-N-T28-1x,20A3F,20,A3,F,N,T28,1,ORF,UNKNOWN,23.72138,P81,CDC_collab,4,20-2
20A3F-N-T1-1x,20A3F,20,A3,F,N,T1,1,ORF,UNKNOWN,24.75468,P81,CDC_collab,4,20-2
20A3F-N-T1-1x,20A3F,20,A3,F,N,T1,1,ORF,UNKNOWN,24.35776,P81,CDC_collab,4,20-2
20A3F-N-T1-5x,20A3F,20,A3,F,N,T1,5,ORF,UNKNOWN,26.85962,P81,CDC_collab,4,20-2
20A3F-N-T1-5x,20A3F,20,A3,F,N,T1,5,ORF,UNKNOWN,26.70793,P81,CDC_collab,4,20-2
20A3F-Y-T1-1x,20A3F,20,A3,F,Y,T1,1,ORF,UNKNOWN,23.21571,P81,CDC_collab,4,20-2
20A3F-Y-T1-1x,20A3F,20,A3,F,Y,T1,1,ORF,UNKNOWN,23.37447,P81,CDC_collab,4,20-2
20A3F-Y-T1-5x,20A3F,20,A3,F,Y,T1,5,ORF,UNKNOWN,25.70503,P81,CDC_collab,4,20-2
20A3F-Y-T7-5x,20A3F,20,A3,F,Y,T7,5,ORF,UNKNOWN,25.71465,P81,CDC_collab,4,20-2
20A3F-Y-T28-1x,20A3F,20,A3,F,Y,T28,1,ORF,UNKNOWN,23.33628,P81,CDC_collab,4,20-2
20A3F-Y-T28-1x,20A3F,20,A3,F,Y,T28,1,ORF,UNKNOWN,23.32335,P81,CDC_collab,4,20-2
20A3F-N-T7-1x,20A3F,20,A3,F,N,T7,1,ORF,UNKNOWN,24.44489,P81,CDC_collab,4,20-2
20A3F-N-T7-1x,20A3F,20,A3,F,N,T7,1,ORF,UNKNOWN,24.46168,P81,CDC_collab,4,20-2
20A3F-N-T7-5x,20A3F,20,A3,F,N,T7,5,ORF,UNKNOWN,26.79489,P81,CDC_collab,4,20-2
20A3F-N-T7-5x,20A3F,20,A3,F,N,T7,5,ORF,UNKNOWN,26.66964,P81,CDC_collab,4,20-2
20A3F-Y-T7-1x,20A3F,20,A3,F,Y,T7,1,ORF,UNKNOWN,23.50057,P81,CDC_collab,4,20-2
20A3F-Y-T7-1x,20A3F,20,A3,F,Y,T7,1,ORF,UNKNOWN,23.53377,P81,CDC_collab,4,20-2
20A3F-Y-T7-5x,20A3F,20,A3,F,Y,T7,5,ORF,UNKNOWN,25.70053,P81,CDC_collab,4,20-2
20A3F-Y-T14-5x,20A3F,20,A3,F,Y,T14,5,ORF,UNKNOWN,26.18674,P81,CDC_collab,4,20-2
20A3F-N-T28-5x,20A3F,20,A3,F,N,T28,5,ORF,UNKNOWN,25.86308,P81,CDC_collab,4,20-2
20A3F-N-T28-5x,20A3F,20,A3,F,N,T28,5,ORF,UNKNOWN,25.99462,P81,CDC_collab,4,20-2
20A3F-N-T14-1x,20A3F,20,A3,F,N,T14,1,ORF,UNKNOWN,24.88855,P81,CDC_collab,4,20-2
