time_point,id,storage_condition,dilution_factor,conc_gc_per_mL,target,experiment_manuscript_label
T0,20A1F,20,1,79200,HuNoV_culture,20-1
T1,20A1F,20,1,58800,HuNoV_culture,20-1
T7,20A1F,20,1,128000,HuNoV_culture,20-1
T0,20A1F,20,1,454000,HuNoV_culture,20-1
T1,20A1F,20,1,873000,HuNoV_culture,20-1
T7,20A1F,20,1,106000,HuNoV_culture,20-1
T0,20A1F,20,1,1910000,HuNoV_culture,20-1
T1,20A1F,20,1,134000,HuNoV_culture,20-1
T7,20A1F,20,1,88500,HuNoV_culture,20-1
T0,20A2F,20,1,969000,HuNoV_culture,20-1
T1,20A2F,20,1,1390000,HuNoV_culture,20-1
T7,20A2F,20,1,48000,HuNoV_culture,20-1
T0,20A2F,20,1,93500,HuNoV_culture,20-1
T1,20A2F,20,1,56840,HuNoV_culture,20-1
T7,20A2F,20,1,95200,HuNoV_culture,20-1
T0,20A2F,20,1,2120000,HuNoV_culture,20-1
T1,20A2F,20,1,53300,HuNoV_culture,20-1
T7,20A2F,20,1,36600,HuNoV_culture,20-1
T0,20A3F,20,1,4390000,HuNoV_culture,20-2
T1,20A3F,20,1,101000,HuNoV_culture,20-2
T7,20A3F,20,1,534000,HuNoV_culture,20-2
T14,20A3F,20,1,105600,HuNoV_culture,20-2
T21,20A3F,20,1,45930,HuNoV_culture,20-2
T28,20A3F,20,1,13400,HuNoV_culture,20-2
T0,20A3F,20,1,373000,HuNoV_culture,20-2
T1,20A3F,20,1,1220000,HuNoV_culture,20-2
T7,20A3F,20,1,189850,HuNoV_culture,20-2
T14,20A3F,20,1,89500,HuNoV_culture,20-2
T21,20A3F,20,1,38520,HuNoV_culture,20-2
T28,20A3F,20,1,13400,HuNoV_culture,20-2
T0,20A3F,20,1,5290000,HuNoV_culture,20-2
T1,20A3F,20,1,1240000,HuNoV_culture,20-2
T7,20A3F,20,1,285000,HuNoV_culture,20-2
T14,20A3F,20,1,65010,HuNoV_culture,20-2
T21,20A3F,20,1,49000,HuNoV_culture,20-2
T28,20A3F,20,1,13400,HuNoV_culture,20-2
T0,20A4F,20,1,1770000,HuNoV_culture,20-2
T1,20A4F,20,1,319000,HuNoV_culture,20-2
T7,20A4F,20,1,397000,HuNoV_culture,20-2
T14,20A4F,20,1,48000,HuNoV_culture,20-2
T21,20A4F,20,1,13400,HuNoV_culture,20-2
T28,20A4F,20,1,13400,HuNoV_culture,20-2
T0,20A4F,20,1,26300000,HuNoV_culture,20-2
T1,20A4F,20,1,71700,HuNoV_culture,20-2
T7,20A4F,20,1,495000,HuNoV_culture,20-2
T14,20A4F,20,1,82630,HuNoV_culture,20-2
T21,20A4F,20,1,28900,HuNoV_culture,20-2
T28,20A4F,20,1,13400,HuNoV_culture,20-2
T0,20A4F,20,1,1520000,HuNoV_culture,20-2
T1,20A4F,20,1,144000,HuNoV_culture,20-2
T7,20A4F,20,1,558220,HuNoV_culture,20-2
T14,20A4F,20,1,56600,HuNoV_culture,20-2
T21,20A4F,20,1,13400,HuNoV_culture,20-2
T28,20A4F,20,1,13400,HuNoV_culture,20-2
T0,15A5F,15,1,707592.7,HuNoV_culture,15-1
T1,15A5F,15,1,43045.18,HuNoV_culture,15-1
T7,15A5F,15,1,13400,HuNoV_culture,15-1
T14,15A5F,15,1,13400,HuNoV_culture,15-1
T21,15A5F,15,1,13400,HuNoV_culture,15-1
T28,15A5F,15,1,13400,HuNoV_culture,15-1
T0,15A5F,15,1,112700.6,HuNoV_culture,15-1
T1,15A5F,15,1,33323.41,HuNoV_culture,15-1
T7,15A5F,15,1,13400,HuNoV_culture,15-1
T14,15A5F,15,1,13400,HuNoV_culture,15-1
T21,15A5F,15,1,13400,HuNoV_culture,15-1
T28,15A5F,15,1,13400,HuNoV_culture,15-1
