"reactor_id","storage_condition","RNase_treated","day","target","concentration_technical_average","concentration_technical_standard_deviation","concentration_units","experiment_manuscript_label"
"15A5F",15,"N",0,"MK1",34603.1505278257,7371.23804753939,"gc.ml","15-1"
"15A5F",15,"N",0,"MK3",153759.002837167,11777.554300403,"gc.ml","15-1"
"15A5F",15,"N",0,"MK5",102296.788888187,822.053888577396,"gc.ml","15-1"
"15A5F",15,"N",0,"MK7",332971.886891773,6555.98474818853,"gc.ml","15-1"
"15A5F",15,"N",0,"ORF",482071.201165558,24372.6078469679,"gc.ml","15-1"
"15A5F",15,"N",1,"MK1",33171.0064991439,5668.30018909752,"gc.ml","15-1"
"15A5F",15,"N",1,"MK3",162090.62779176,6639.78645338077,"gc.ml","15-1"
"15A5F",15,"N",1,"MK5",117991.592742875,3231.90895251962,"gc.ml","15-1"
"15A5F",15,"N",1,"MK7",299127.721350821,27259.721962322,"gc.ml","15-1"
"15A5F",15,"N",1,"ORF",884264.052472165,15174.809853024,"gc.ml","15-1"
"15A5F",15,"N",14,"MK1",8695.41288231902,109.56621024647,"gc.ml","15-1"
"15A5F",15,"N",14,"MK3",47105.3336131707,2209.58290955208,"gc.ml","15-1"
"15A5F",15,"N",14,"MK5",25877.2206542353,3142.14803016841,"gc.ml","15-1"
"15A5F",15,"N",14,"MK7",76967.9637499813,4628.68409584792,"gc.ml","15-1"
"15A5F",15,"N",14,"ORF",204237.753125884,13914.2134047271,"gc.ml","15-1"
"15A5F",15,"N",21,"MK1",3000,0,"gc.ml","15-1"
"15A5F",15,"N",21,"MK3",8439.54459497191,2011.53891963437,"gc.ml","15-1"
"15A5F",15,"N",21,"MK5",8564.34073415339,691.735634916747,"gc.ml","15-1"
"15A5F",15,"N",21,"MK7",17872.5333591209,5472.67423381932,"gc.ml","15-1"
"15A5F",15,"N",21,"ORF",74422.772877174,7692.70960732283,"gc.ml","15-1"
"15A5F",15,"N",28,"MK1",3000,0,"gc.ml","15-1"
"15A5F",15,"N",28,"MK3",16373.9609882879,692.443678385405,"gc.ml","15-1"
"15A5F",15,"N",28,"MK5",9150.66295015028,224.600821198231,"gc.ml","15-1"
"15A5F",15,"N",28,"MK7",11938.5281223037,5752.43269366811,"gc.ml","15-1"
"15A5F",15,"N",28,"ORF",91738.7730313324,14302.6926913667,"gc.ml","15-1"
"15A5F",15,"N",7,"MK1",6813.84634884432,534.08774665338,"gc.ml","15-1"
"15A5F",15,"N",7,"MK3",44167.5333538127,1424.6234287773,"gc.ml","15-1"
"15A5F",15,"N",7,"MK5",21045.6529840763,631.040525015658,"gc.ml","15-1"
"15A5F",15,"N",7,"MK7",68366.8527130346,3182.27410122494,"gc.ml","15-1"
"15A5F",15,"N",7,"ORF",242624.047236371,12750.7707443329,"gc.ml","15-1"
"15A6F",15,"N",0,"MK1",38090.0814840024,982.033341302396,"gc.ml","15-2"
"15A6F",15,"Y",0,"MK1",28675.1113705505,994.746789066544,"gc.ml","15-2"
"15A6F",15,"N",0,"MK3",361288.250437422,7218.35946535095,"gc.ml","15-2"
"15A6F",15,"Y",0,"MK3",390203.717594899,10325.2316302017,"gc.ml","15-2"
"15A6F",15,"N",0,"MK5",126610.797675648,77703.1621126949,"gc.ml","15-2"
"15A6F",15,"Y",0,"MK5",150946.181529141,4312.21107404067,"gc.ml","15-2"
"15A6F",15,"N",0,"MK7",392766.074643584,37729.6551132917,"gc.ml","15-2"
"15A6F",15,"Y",0,"MK7",318893.274288099,29296.5841733683,"gc.ml","15-2"
"15A6F",15,"N",0,"ORF",708073.990912215,35085.374505049,"gc.ml","15-2"
"15A6F",15,"Y",0,"ORF",888682.389995536,204717.754195856,"gc.ml","15-2"
"15A6F",15,"N",1,"MK1",67203.9766653193,429.568070563587,"gc.ml","15-2"
"15A6F",15,"Y",1,"MK1",63182.2578445386,3246.99318400322,"gc.ml","15-2"
"15A6F",15,"N",1,"MK3",733890.087863483,68879.1185128933,"gc.ml","15-2"
"15A6F",15,"Y",1,"MK3",730524.03278601,62536.6102251329,"gc.ml","15-2"
"15A6F",15,"N",1,"MK5",287582.818958337,10977.9198482458,"gc.ml","15-2"
"15A6F",15,"Y",1,"MK5",317170.86310538,27838.3124658079,"gc.ml","15-2"
"15A6F",15,"N",1,"MK7",579371.57042881,16769.1909491265,"gc.ml","15-2"
"15A6F",15,"Y",1,"MK7",660220.662711553,56152.4223886177,"gc.ml","15-2"
"15A6F",15,"N",1,"ORF",867101.604323903,16764.2882243998,"gc.ml","15-2"
"15A6F",15,"Y",1,"ORF",809536.87954262,103598.459847877,"gc.ml","15-2"
"15A6F",15,"N",3,"MK1",35558.4873768945,183.711105487397,"gc.ml","15-2"
"15A6F",15,"Y",3,"MK1",30073.9085337234,2076.71285008381,"gc.ml","15-2"
"15A6F",15,"N",3,"MK3",422165.118789652,48447.3217557591,"gc.ml","15-2"
"15A6F",15,"Y",3,"MK3",399189.053711516,50473.6793242162,"gc.ml","15-2"
"15A6F",15,"N",3,"MK5",156187.25373288,11571.782794604,"gc.ml","15-2"
"15A6F",15,"Y",3,"MK5",175234.748285457,11516.5424616129,"gc.ml","15-2"
